Day,Date,Pos,Total,ATK,% Detech,vaccine,hospital,ICU
578,7/31/2021,14161,59041,2266,23.98502735,234161,200510,4691
579,8/1/2021,13214,53149,734,24.86217991,116087,205002,4765
580,8/2/2021,13845,57398,365,24.12104951,340412,208875,4768
581,8/3/2021,18316,74481,2470,24.59150656,378176,209039,4893
582,8/4/2021,17863,68635,522,26.02607999,387936,211076,4910
583,8/5/2021,16632,60211,4009,27.62285961,535142,213910,4993
584,8/6/2021,12278,47117,1444,26.05853514,646065,212926,4999
585,8/7/2021,13781,50841,6026,27.1060758,228460,212344,5159
586,8/8/2021,13028,53748,2577,24.23904145,180934,214786,5157
587,8/9/2021,14064,56886,958,24.72313047,539252,214421,5218
588,8/10/2021,17189,68463,548,25.1069921,582781,211223,5450
589,8/11/2021,16328,66851,2081,24.42446635,603247,210042,5407
590,8/12/2021,15080,57353,3678,26.29330637,256560,209028,5495
591,8/13/2021,12929,52063,1523,24.83337495,708922,212179,5565
592,8/14/2021,14557,58471,4716,24.89610234,252603,210376,5590
593,8/15/2021,12202,50791,1586,24.02394125,137108,210943,5615
594,8/16/2021,11274,54302,803,20.76166624,517251,210934,5626
595,8/17/2021,15693,63953,2102,24.53833284,536597,210032,5536
596,8/18/2021,17030,68932,7210,24.70550688,564641,207553,5458
597,8/19/2021,14346,60847,2841,23.57716896,679919,205946,5439
598,8/20/2021,16083,74919,1772,21.46718456,772904,205079,5388
599,8/21/2021,11081,46129,7094,24.02176505,293722,202230,5171
600,8/22/2021,8875,42140,2039,21.06074988,158670,200390,5239
601,8/23/2021,11358,54456,901,20.85720582,569535,195454,5290
602,8/24/2021,12838,64284,314,19.97075478,619213,192334,5529
603,8/25/2021,13670,62160,1185,21.99163449,683363,189268,5189
604,8/26/2021,11911,59708,2339,19.94875059,767118,186934,5174
605,8/27/2021,9124,50388,5066,18.10748591,875532,185200,5154
606,8/28/2021,8694,42463,2535,20.47429527,318274,182357,5109
607,8/29/2021,7003,31920,2670,21.93922306,236365,177702,5093
608,8/30/2021,9231,51170,2028,18.03986711,897577,176137,5058
609,8/31/2021,12030,65454,866,18.37931983,880234,171368,5003
610,9/1/2021,10617,50872,1880,20.87002673,775580,166922,4917
611,9/2/2021,9388,47992,2718,19.5615936,785307,163680,4841
612,9/3/2021,9571,49598,2327,19.29714908,919526,159800,4740
613,9/4/2021,8804,40007,2407,22.00614892,32908,155134,4741
614,9/5/2021,8284,36366,4966,22.77951933,188504,152105,4682
615,9/6/2021,9321,51299,2404,18.16994483,760710,148622,4601
616,9/7/2021,10626,55313,1112,19.2106738,764169,145465,4487
617,9/8/2021,11179,62253,2372,17.95736752,745731,142644,4387
618,9/9/2021,9716,51430,1904,18.89169745,761117,143038,4364
619,9/10/2021,10611,53625,1945,19.78741259,862896,141642,4330
620,9/11/2021,7535,41354,2534,18.22072835,281784,137859,4168
621,9/12/2021,8475,37858,2240,22.38628559,200178,135966,4103
622,9/13/2021,10643,54487,6436,19.53309964,761144,132113,4096
623,9/14/2021,11993,62363,783,19.23095425,819,129025,4080
624,9/15/2021,12466,59852,1216,20.8280425,831743,128546,3994
625,9/16/2021,11904,60004,1768,19.83867742,817171,128728,3811
626,9/17/2021,9078,52375,1630,17.3326969,936836,129421,3851
627,9/18/2021,6767,36856,3117,18.36064684,361557,120128,3701
628,9/19/2021,6259,37370,2509,16.74872893,262331,131095,3646
629,9/20/2021,7464,47733,1723,15.63698071,812937,132573,3582
630,9/21/2021,9281,54358,6593,17.07384378,803479,131655,3548
631,9/22/2021,8068,52202,2062,15.45534654,828018,129071,3464
632,9/23/2021,8896,49287,3088,18.04938422,923708,128367,3422
633,9/24/2021,6932,38751,3469,17.88857062,1485251,127392,3377
634,9/25/2021,5419,29396,2370,18.43448088,335836,124540,3323
635,9/26/2021,5942,31460,1759,18.88747616,229579,122463,3324
636,9/27/2021,7682,46970,2306,16.35512029,853581,120156,3341
637,9/28/2021,5989,37636,6855,15.91295568,839321,116711,3283
638,9/29/2021,8783,56382,5100,15.57766663,842131,115423,3232
639,9/30/2021,8602,50566,3326,17.01143061,802405,116075,3175
640,10/1/2021,7641,46568,5150,16.40826319,802990,115223,3144
641,10/2/2021,6134,34293,2906,17.88703234,298817,113394,3124
642,10/3/2021,6017,35419,2839,16.98805726,196726,112251,3074
643,10/4/2021,7330,49428,1743,14.82965121,739759,109748,3071
644,10/5/2021,8954,56866,3495,15.74578834,831407,108373,3013
645,10/6/2021,7168,46896,5652,15.2848857,802036,108022,3017
646,10/7/2021,8257,52703,4783,15.66703983,921845,109022,3000
647,10/8/2021,7413,49633,5016,14.93562751,1024959,110113,3003
648,10/9/2021,7648,38706,7228,19.75921046,461970,110128,2967
649,10/10/2021,6506,37754,9381,17.23261111,308811,110880,2985
650,10/11/2021,8999,52381,2498,17.17989347,900344,110265,2969
651,10/12/2021,11176,61955,1905,18.0388992,961154,108174,2954
652,13/10/2021,8437,48936,3586,17.24088606,639566,107168,2941
653,14/10/2021,9151,51862,3209,17.64490378,1063071,107925,2890
654,15/10/2021,8613,54456,3577,15.81643896,1173926,107606,2897
655,16/10/2021,7833,43560,2065,17.98209366,422837,107378,2845
656,17/10/2021,6358,36209,4125,17.55917037,255560,107790,2820
657,18/10/2021,7421,51223,1700,14.48763251,916013,107226,2831
658,19/10/2021,9594,63931,1924,15.00680421,954955,105546,2762
659,20/10/2021,9316,55210,3178,16.87375475,995524,103570,2728
660,21/10/2021,8594,50987,2161,16.85527684,882228,103086,2687
661,22/10/2021,7291,42068,2898,17.33146335,451261,102317,2585
662,23/10/2021,5337,29284,1033,18.22496927,222297,101803,2452
663,24/10/2021,6696,33684,4163,19.87887424,154904,101000,2432
664,25/10/2021,7109,51389,3525,13.83369982,836499,100042,2437
665,26/10/2021,10595,59475,2304,17.81420765,852873,98150,2414
666,27/10/2021,7521,50899,2653,14.77632174,891619,98096,2355
667,28/10/2021,8308,51712,4410,16.06590347,906976,99144,2281
668,29/10/2021,7359,49308,4575,14.92455585,990989,99301,2222
669,30/10/2021,5301,33805,2944,15.68111226,306412,100132,2217
670,31/10/2021,5464,35713,3285,15.29975079,247333,100691,2225
671,1/11/2021,6510,50388,2450,12.9197428,693289,99227,2221
672,2/11/2021,8516,61061,2113,13.94670903,736571,98444,2219
673,3/11/2021,7370,52079,2376,14.15157741,740982,97585,2205
674,4/11/2021,7914,48439,3001,16.33807469,775652,97640,2181
675,5/11/2021,7481,49697,3848,15.05322253,920422,97300,2118
676,6/11/2021,5102,32725,3300,15.59052712,296329,97410,2054
677,7/11/2021,4972,31570,1605,15.74912892,192537,98367,2048
678,8/11/2021,6458,52134,3797,12.38730963,750561,98425,1997
679,9/11/2021,7645,58393,1497,13.09232271,739015,97244,1898
680,10/11/2021,6592,48980,2358,13.45855451,735926,96463,1877
681,11/11/2021,5342,39798,3152,13.42278506,782747,96450,1846
682,12/11/2021,6155,46266,2851,13.30350581,747112,95804,1824
683,13/11/2021,4582,34829,2893,13.15570358,271032,95413,1818
